,realAltitude,kalmanAltitude
977,1557.28,1555.76
978,1557.18,1555.78
979,1557.37,1555.8
980,1556.99,1555.82
981,1557.08,1555.84
982,1556.99,1555.85
983,1557.37,1555.87
984,1557.08,1555.89
985,1556.7,1555.9
986,1556.7,1555.91
987,1557.56,1555.93
988,1557.08,1555.95
989,1557.08,1555.96
990,1557.18,1555.98
991,1557.56,1556.0
992,1557.47,1556.02
993,1557.28,1556.04
994,1557.85,1556.06
995,1557.66,1556.08
996,1557.95,1556.11
997,1557.18,1556.12
998,1557.47,1556.14
999,1557.66,1556.16
1000,1557.47,1556.18
1001,1557.47,1556.2
1002,1556.89,1556.21
1003,1557.56,1556.22
1004,1557.18,1556.24
1005,1556.89,1556.25
1006,1557.18,1556.26
1007,1557.56,1556.28
1008,1557.28,1556.29
1009,1557.18,1556.3
1010,1557.28,1556.31
1011,1556.99,1556.32
1012,1557.08,1556.33
1013,1557.47,1556.35
1014,1557.47,1556.36
1015,1557.95,1556.38
1016,1557.47,1556.4
1017,1557.37,1556.41
1018,1557.28,1556.42
1019,1557.18,1556.43
1020,1557.76,1556.45
1021,1557.47,1556.46
1022,1557.66,1556.47
1023,1557.28,1556.48
1024,1557.66,1556.5
1025,1557.37,1556.51
1026,1557.76,1556.53
1027,1557.37,1556.54
1028,1557.37,1556.55
1029,1557.18,1556.55
1030,1556.8,1556.56
1031,1557.28,1556.57
1032,1557.18,1556.57
1033,1557.37,1556.58
1034,1557.08,1556.59
1035,1557.56,1556.6
1036,1557.28,1556.61
1037,1557.37,1556.62
1038,1557.37,1556.63
1039,1557.37,1556.64
1040,1557.28,1556.64
1041,1557.08,1556.65
1042,1557.56,1556.66
1043,1557.76,1556.67
1044,1557.76,1556.68
1045,1557.28,1556.69
1046,1557.76,1556.7
1047,1558.33,1556.72
1048,1557.76,1556.73
1049,1557.76,1556.75
1050,1558.14,1556.76
1051,1558.14,1556.78
1052,1558.33,1556.8
1053,1558.24,1556.81
1054,1558.52,1556.83
1055,1558.14,1556.85
1056,1557.95,1556.86
1057,1557.76,1556.87
1058,1558.24,1556.89
1059,1558.04,1556.9
1060,1558.14,1556.91
1061,1557.95,1556.93
1062,1558.04,1556.94
1063,1558.14,1556.95
1064,1558.04,1556.97
1065,1558.33,1556.98
1066,1558.24,1557.0
1067,1557.95,1557.01
1068,1558.43,1557.02
1069,1557.85,1557.03
1070,1558.14,1557.05
1071,1558.33,1557.06
1072,1558.33,1557.08
1073,1558.04,1557.09
1074,1558.43,1557.1
1075,1557.37,1557.11
1076,1557.28,1557.11
1077,1558.04,1557.12
1078,1557.95,1557.13
1079,1557.56,1557.13
1080,1557.76,1557.14
1081,1557.56,1557.14
1082,1557.47,1557.15
1083,1557.85,1557.16
1084,1557.37,1557.16
1085,1557.18,1557.16
1086,1556.99,1557.16
1087,1557.66,1557.16
1088,1557.18,1557.16
1089,1557.08,1557.16
1090,1557.18,1557.16
1091,1557.08,1557.16
1092,1557.66,1557.17
1093,1557.08,1557.17
1094,1557.37,1557.17
1095,1557.18,1557.17
1096,1557.28,1557.17
1097,1556.03,1557.16
1098,1555.84,1557.14
1099,1555.65,1557.13
1100,1555.84,1557.12
1101,1555.55,1557.1
1102,1555.74,1557.09
1103,1555.45,1557.07
1104,1555.74,1557.06
1105,1555.55,1557.04
1106,1556.03,1557.03
1107,1555.55,1557.02
1108,1555.93,1557.01
1109,1556.32,1557.0
1110,1556.03,1556.99
1111,1556.03,1556.98
1112,1556.51,1556.97
1113,1556.7,1556.97
1114,1556.6,1556.97
1115,1556.99,1556.97
1116,1557.76,1556.98
1117,1557.66,1556.98
1118,1557.47,1556.99
1119,1557.47,1556.99
1120,1557.18,1556.99
1121,1558.24,1557.01
1122,1557.56,1557.01
1123,1557.85,1557.02
1124,1557.37,1557.02
1125,1557.56,1557.03
1126,1557.47,1557.03
1127,1556.99,1557.03
1128,1557.85,1557.04
1129,1557.18,1557.04
1130,1557.85,1557.05
1131,1557.76,1557.06
1132,1558.14,1557.07
1133,1557.47,1557.07
