Index, Raw, Filtered
728, 1558.81, 1560.73
729, 1559.00, 1560.82
730, 1558.91, 1560.86
731, 1558.62, 1560.84
732, 1558.14, 1560.71
733, 1558.62, 1560.72
734, 1558.91, 1560.79
735, 1559.10, 1560.89
736, 1558.71, 1560.88
737, 1558.71, 1560.87
738, 1558.24, 1560.76
739, 1558.71, 1560.78
740, 1558.24, 1560.69
741, 1558.62, 1560.70
742, 1558.52, 1560.68
743, 1558.62, 1560.69
744, 1559.10, 1560.81
745, 1558.52, 1560.78
746, 1558.81, 1560.81
747, 1558.71, 1560.82
748, 1558.91, 1560.87
749, 1558.71, 1560.87
750, 1558.71, 1560.86
751, 1558.43, 1560.80
752, 1558.33, 1560.72
753, 1558.04, 1560.60
754, 1558.71, 1560.65
755, 1558.62, 1560.67
756, 1558.62, 1560.68
757, 1558.62, 1560.69
758, 1558.52, 1560.68
759, 1558.24, 1560.61
760, 1559.19, 1560.76
761, 1559.19, 1560.89
762, 1558.43, 1560.82
763, 1558.52, 1560.78
764, 1558.91, 1560.84
765, 1559.00, 1560.91
766, 1559.00, 1560.96
767, 1559.39, 1561.09
768, 1558.91, 1561.09
769, 1559.19, 1561.15
770, 1559.00, 1561.16
771, 1558.81, 1561.12
772, 1558.91, 1561.11
773, 1558.71, 1561.06
774, 1558.81, 1561.04
775, 1558.52, 1560.96
776, 1558.81, 1560.96
777, 1558.91, 1560.98
778, 1557.76, 1560.74
779, 1559.10, 1560.84
780, 1558.14, 1560.71
781, 1558.71, 1560.74
782, 1558.24, 1560.65
783, 1558.24, 1560.58
784, 1558.91, 1560.67
785, 1558.14, 1560.58
786, 1558.04, 1560.48
787, 1558.71, 1560.55
788, 1558.62, 1560.59
789, 1559.10, 1560.72
790, 1558.33, 1560.66
791, 1558.24, 1560.59
792, 1558.33, 1560.56
793, 1558.62, 1560.59
794, 1558.81, 1560.67
795, 1559.00, 1560.77
796, 1559.39, 1560.94
797, 1558.33, 1560.84
798, 1558.71, 1560.84
799, 1559.00, 1560.91
800, 1559.00, 1560.96
801, 1559.00, 1561.01
802, 1558.71, 1560.98
803, 1558.14, 1560.83
804, 1559.00, 1560.90
805, 1558.33, 1560.81
806, 1558.52, 1560.78
807, 1558.52, 1560.75
808, 1558.43, 1560.71
809, 1559.58, 1560.94
810, 1558.62, 1560.92
811, 1559.10, 1561.00
812, 1559.39, 1561.13
813, 1558.91, 1561.13
814, 1559.48, 1561.26
815, 1558.91, 1561.24
816, 1559.39, 1561.33
817, 1558.62, 1561.22
818, 1558.62, 1561.14
819, 1558.91, 1561.14
820, 1558.71, 1561.09
821, 1559.29, 1561.19
822, 1558.71, 1561.13
823, 1559.19, 1561.20
824, 1558.43, 1561.07
825, 1558.62, 1561.02
826, 1559.19, 1561.10
827, 1559.19, 1561.17
828, 1559.29, 1561.24
829, 1559.67, 1561.38
830, 1559.87, 1561.54
831, 1559.39, 1561.55
832, 1559.00, 1561.48
833, 1559.87, 1561.62
834, 1559.67, 1561.68
835, 1559.58, 1561.71
836, 1559.58, 1561.73
837, 1560.15, 1561.88
838, 1559.87, 1561.93
839, 1559.58, 1561.91
840, 1559.96, 1561.97
841, 1559.67, 1561.96
842, 1559.67, 1561.95
843, 1559.39, 1561.87
844, 1559.87, 1561.91
845, 1559.87, 1561.95
846, 1559.67, 1561.93
847, 1559.67, 1561.92
848, 1560.06, 1561.99
849, 1559.67, 1561.96
850, 1560.06, 1562.02
851, 1559.67, 1561.98
852, 1559.58, 1561.93
853, 1560.06, 1561.99
854, 1559.67, 1561.96
855, 1560.25, 1562.05
856, 1560.15, 1562.11
857, 1560.15, 1562.16
858, 1560.15, 1562.19
859, 1560.44, 1562.28
860, 1560.06, 1562.27
861, 1560.63, 1562.39
862, 1560.15, 1562.38
863, 1560.44, 1562.43
864, 1559.77, 1562.33
865, 1560.35, 1562.37
866, 1560.15, 1562.36
867, 1559.96, 1562.31
868, 1559.67, 1562.20
869, 1559.77, 1562.14
870, 1560.06, 1562.14
871, 1560.15, 1562.17
872, 1559.77, 1562.11
873, 1560.06, 1562.12
874, 1560.06, 1562.13
875, 1559.77, 1562.08
876, 1560.15, 1562.12
877, 1560.25, 1562.17
878, 1560.15, 1562.20
879, 1559.96, 1562.17
880, 1559.77, 1562.11
881, 1559.77, 1562.05
882, 1559.77, 1562.01
883, 1560.25, 1562.08
884, 1560.15, 1562.12
885, 1560.63, 1562.26
886, 1560.44, 1562.33
887, 1560.35, 1562.36
888, 1560.25, 1562.36
889, 1560.54, 1562.42
890, 1560.06, 1562.37
891, 1560.73, 1562.47
892, 1560.35, 1562.47
893, 1559.87, 1562.36
894, 1560.63, 1562.44
895, 1560.06, 1562.38
896, 1560.06, 1562.32
897, 1560.25, 1562.32
898, 1559.77, 1562.22
899, 1560.06, 1562.19
900, 1560.25, 1562.22
901, 1559.96, 1562.17
902, 1560.25, 1562.20
903, 1560.06, 1562.18
904, 1560.25, 1562.21
905, 1560.44, 1562.28
906, 1559.96, 1562.22
907, 1560.06, 1562.20
908, 1560.35, 1562.25
909, 1559.96, 1562.20
910, 1559.67, 1562.10
911, 1559.96, 1562.08
912, 1559.96, 1562.07
913, 1559.96, 1562.06
914, 1559.77, 1562.01
915, 1559.48, 1561.90
916, 1559.96, 1561.92
917, 1560.06, 1561.97
918, 1559.48, 1561.87
919, 1559.29, 1561.75
920, 1559.77, 1561.76
921, 1559.58, 1561.73
922, 1559.67, 1561.73
923, 1559.96, 1561.79
924, 1559.87, 1561.82
925, 1559.87, 1561.85
926, 1559.39, 1561.76
927, 1559.10, 1561.62
928, 1559.48, 1561.60
929, 1559.96, 1561.69
930, 1559.29, 1561.61
931, 1559.58, 1561.61
932, 1559.29, 1561.55
933, 1559.29, 1561.50
934, 1559.39, 1561.48
935, 1559.39, 1561.46
936, 1559.77, 1561.54
937, 1559.19, 1561.47
938, 1559.10, 1561.40
939, 1559.29, 1561.38
940, 1559.39, 1561.39
